",appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price"
"476,22300,1,0,0,9921.0,2709,588,617,7.99"
"477,22310,1,0,45,466.0,240,29,29,3.99"
"478,22320,1,0,0,9571.0,540,1135,1183,12.99"
"479,22330,1,0,0,13827.0,826,1307,630,12.99"
"480,22350,1,0,43,3493.0,2331,181,99,0.0"
"481,22370,1,0,0,17742.0,4495,1242,1076,14.99"
"482,22380,1,18,75,66756.0,3149,2485,1431,7.99"
"483,22450,1,0,0,498.0,213,28,28,3.99"
"484,22500,1,0,0,125.0,19,0,0,5.99"
"485,22600,1,0,61,2478.0,430,327,420,14.99"
"486,22610,1,0,13,776.0,307,7,7,6.99"
"487,22650,1,0,13,478.0,226,96,96,6.99"
"488,22670,1,0,13,242.0,90,1,1,6.99"
"489,23150,1,0,40,13.0,5,0,0,1.59"
"490,23300,1,0,0,102.0,64,0,0,3.99"
"491,23380,1,0,0,124.0,113,73,73,3.99"
"492,23400,1,0,0,191.0,45,102,102,7.99"
"493,23420,1,0,0,123.0,52,4975,4975,7.99"
"494,23450,1,0,0,354.0,138,319,319,6.99"
"495,23460,1,0,0,83.0,19,0,0,4.79"
